Parent Category	mapillary-public65	mapillary-public65-relabeled	coco-panoptic-133	coco-panoptic-133-relabeled	ade20k-150	ade20k-150-relabeled	idd-39	idd-39-relabeled	cityscapes-34	cityscapes-34-relabeled	cityscapes-19	cityscapes-19-relabeled	bdd	bdd-relabeled	nyudepthv2-37	scannet-37	sunrgbd-37	sunrgbd-37-relabeled	universal	WordNet 3.1 Synset	Defn (Most of the meanings are derived from WordNet 3.1)	Modification of WordNet Node	test-nyudepthv2-37	kitti-19	voc2012	scannet-20	camvid-11	wilddash-19	pascal-context-60
accessory			backpack	backpack				backpack											backpack	backpack.n.01	a bag carried by a strap on your back or shoulder	no	bag		background				bag
accessory			umbrella	umbrella															umbrella	umbrella.n.01	a lightweight collapsible canopy. Could be handheld or mounted above a table outdoors.	yes			background				background
accessory			{handbag}	bag	bag	bag		bag							bag	bag	bag	bag	bag	bag.n.01	a flexible container with a single opening	no	bag		background				bag
accessory			tie	tie															tie	tie.n.01	neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front	no			background				background
accessory			suitcase	suitcase															suitcase	suitcase.n.01	a portable rectangular container for carrying clothes	no			background				background
accessory					case	case													case		a glass container used to store and display items in a shop or museum or home				background				background
animal	Bird	bird	bird	bird		bird													bird	bird.n.01	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	no			bird				bird
animal		cat	cat	cat		cat													cat	cat.n.01	feline mammal usually having thick soft fur and no ability to roar: domestic cats	yes			cat				cat
animal	Ground Animal	dog	dog	dog		dog													dog	dog.n.01	a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds	no			dog				dog
animal		horse	horse	horse		horse													horse	horse.n.01	solid-hoofed herbivorous quadruped domesticated since prehistoric times	no			horse				horse
animal			sheep	sheep		sheep													sheep	sheep.n.01	woolly usually horned ruminant mammal related to the goat	no			sheep				sheep
animal		cow	cow	cow		cow													cow	beef.n.01	cattle that are reared for their meat	no			cow				cow
animal			elephant	elephant		elephant													elephant	elephant.n.01	five-toed pachyderm	no			background				background
animal			bear	bear		bear													bear	bear.n.01	massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws	no			background				background
animal			zebra	zebra		zebra													zebra	zebra.n.01	any of several fleet black-and-white striped African equines	no			background				background
animal			giraffe	giraffe		giraffe													giraffe	giraffe.n.01	tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa	no			background				background
animal		animal_other			animal	animal_other													animal_other	animal.n.01	Any animal that is not a bird, cat, dog, horse, sheep, cow, elephant, bear, zebra, or giraffe 	yes			background				background
appliance			microwave	microwave	microwave	microwave													microwave	microwave.n.02	kitchen appliance that cooks food by passing an electromagnetic wave through it	no			background				background
appliance					radiator	radiator													radiator	radiator.n.02	heater consisting of a series of pipes for circulating steam or hot water to heat rooms or buildings				background	otherfurniture			background
appliance			oven	oven	oven	oven													oven	oven.n.01	kitchen appliance used for baking or roasting				background				background
appliance			toaster	toaster															toaster	toaster.n.02 [but we also have toaster_oven labeled here, waffle maker]	a kitchen appliance (usually electric) for toasting bread				background				background
appliance					tank	storage_tank													storage_tank	tank.n.02	a large (usually metallic) vessel for holding gases or liquids				background				background
appliance					conveyer belt	conveyor_belt													conveyor_belt	conveyer_belt.n.01	a moving belt that transports people or objects (as in a factory). Includes moving walkways and baggage carousels				background				background
appliance			sink	sink	sink	sink									sink	sink	sink	sink	sink	sink.n.01	plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe	yes	sink		background	sink			background
appliance			refrigerator	refrigerator	refrigerator	refrigerator									refridgerator	refridgerator	refridgerator	refrigerator	refrigerator	fridge.n.01	a refrigerator in which the coolant is pumped around by an electric motor		refridgerator		background	refridgerator			background
appliance					washer	washer_dryer													washer_dryer	washer.n.03	a home appliance for washing or drying clothes and linens automatically	yes			background				background
appliance					fan	fan													fan		a device for creating a current of air by movement of a surface or surfaces				background				background
appliance					dishwasher	dishwasher													dishwasher	dishwasher.n.01	a machine for washing dishes				background				background
bathroom			toilet	toilet	toilet	toilet									toilet	toilet	toilet	toilet	toilet	toilet.n.02	a plumbing fixture for defecation and urination		toilet		background	toilet			background
bathroom					bathtub	bathtub									bathtub	bathtub	bathtub	bathtub	bathtub				bathtub		background	bathtub			background
bathroom					shower	shower													shower						background				background
building-parent	Tunnel	tunnel					tunnel	tunnel	tunnel	tunnel									tunnel	tunnel.n.01	a passageway through or under something, usually underground (especially one for trains or cars)				background				ceiling
building-parent	Bridge	bridge	bridge	bridge	bridge	bridge	bridge	bridge	bridge	bridge									bridge	bridge.n.01	a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.				background				background
building-parent				pier_wharf	pier	pier_wharf													pier_wharf	pier.n.01	Either a pier or a wharf. A pier is a platform/low-structure built out from the shore into the water and supported by piles; provides access to ships and boats. A wharf is a level quayside area to which a ship may be moored to load and unload at the edge of water.				background				background
building-parent			tent	tent	tent	tent													tent	tent.n.01	a portable shelter (usually of canvas stretched over supporting poles and fastened to the ground with ropes and pegs)				background				background
building-parent	{Building, Phone Booth}	building	{building-other-merged, house, roof}	building	{house,building,  skyscraper,  booth,  hovel,  tower, grandstand}	building	building	building	building	building	building	building	building	building					building	building.n.01	a structure that has a roof and walls and stands more or less permanently in one place. Includes houses, grandstands, booths, towers, and skyscrapers.			building	background		Building	building	building
building-parent			ceiling-merged	ceiling	ceiling	ceiling									ceiling	ceiling	ceiling	ceiling	ceiling				ceiling		background				ceiling
electronic			laptop	laptop															laptop	laptop.n.01	a portable computer small enough to use in your lap				background				computer
electronic			keyboard	keyboard															keyboard	computer_keyboard.n.01	a keyboard that is a data input device for computers				background				keyboard
electronic			mouse	mouse															mouse	mouse.n.04 [may want to rename to mouse_computer_equipment]	a computer input device that controls an on-screen pointer				background				mouse
electronic			remote	remote															remote	remote_control.n.01	a device that can be used to control a machine or apparatus from a distance				background				background
electronic			cell phone	cell phone															cell phone	cellular_telephone.n.01	a phone with access to a cellular radio system so it can be used over a wide area, without a physical connection to a network; a mobile phone.				background				background
electronic			tv	television	television receiver	television									television	television	television	television	television	television_receiver.n.01	an electronic device that receives television signals and displays them on a screen		television		tvmonitor				tvmonitor
floor-parent			{floor-wood, floor-other-merged}	floor	floor	floor									floor	floor	floor	floor	floor	floor.n.01	The inside lower horizontal surface (as of a room, hallway, tent, or other structure). Must be indoors. This includes homogenous floor coverings that span an entire room, such as carpet, linoleum, or marble.		floor		background	floor			floor
floor-parent				stage	stage	stage													stage	stage.n.03	a large platform on which people can stand and can be seen by an audience	no			background				floor
food			banana	banana															banana	banana.n.02	elongated crescent-shaped yellow fruit with soft sweet flesh	no			background				food
food			apple	apple															apple	apple.n.01	fruit with red or yellow or green skin and sweet to tart crisp whitish flesh	no			background				food
food			sandwich	sandwich		sandwich													sandwich	sandwich.n.01	two (or more) slices of bread with a filling between them				background				food
food			orange	orange															orange	orange.n.01	round yellow to orange fruit of any of several citrus trees				background				food
food			broccoli	broccoli		broccoli													broccoli	broccoli.n.01	plant with dense clusters of tight green flower buds	no			background				food
food			carrot	carrot															carrot	carrot.n.01	deep orange edible root of the cultivated carrot plant	no			background				food
food			hot dog	hot_dog															hot_dog	hotdog.n.02	a frankfurter served hot on a bun	no			background				food
food			pizza	pizza		pizza													pizza	pizza.n.01	Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese	no			background				food
food			donut	donut															donut	donut.n.01	a small ring-shaped friedcake	no			background				food
food			cake	cake		cake													cake	cake.n.03	baked goods made from or based on a mixture of flour, sugar, eggs, and fat	no			background				food
food			fruit	fruit_other		fruit_other													fruit_other	fruit.n.01	any fruit not an apple, orange, or banana (e.g. pineapple, melon, pear, kiwi, avocado would qualify)	yes			background				food
food			food-other-merged	food_other	food	food_other													food_other		any food that is not a banana, apple, sandwiche, orange, broccoli, carrot, hot_dog, pizza, donut, cake, or fruit				background				food
furniture			chair	chair_other	chair	chair_other									chair	chair	chair	chair_other	chair_other	chair.n.01	Any chair that does NOT fall into the following categories: armchair, stool, seat, sofa.  A chair is defined as a seat for one person, with a support for the back.	yes	chair		chair	chair			chair
furniture				armchair	armchair	armchair												armchair	armchair	armchair.n.01	chair with a support on each side for arms (that is not a swivel chair, seat, or sofa)	no	chair		chair	chair			chair
furniture				swivel_chair	swivel chair	swivel_chair												swivel_chair	swivel_chair	swivel_chair.n.01	a chair that swivels on its base. Can be turned around a central point to face in a different direction without moving the legs		chair		chair	chair			chair
furniture				stool	stool	stool												stool	stool	stool.n.01	a simple seat without a back or arms; or a high seat at a bar without arms	no	chair		chair	chair			chair
furniture				seat	seat	seat												seat	seat	seat.n.01	a space reserved for sitting (as in a theater, auditorium, stadium, on a train or airplane, or in a car). (that is not a bench, chair, stool, sofa, or armchair)	no	chair		chair	chair			chair
furniture			couch	couch	sofa	couch									sofa	sofa	sofa	couch	couch	sofa.n.01	an upholstered seat for more than one person (also known as sofa)	no	sofa		sofa	sofa			sofa
furniture	Trash Can	trash_can			ashcan	trash_can													trash_can	ashcan.n.01	a bin that holds rubbish until it is collected				background	otherfurniture			background
furniture			potted plant	potted_plant	pot	potted_plant													potted_plant		a plant that is planted and grown in a container rather than in the ground				pottedplant	otherfurniture			pottedplant
furniture				nightstand		nightstand									night stand	night stand	night stand	nightstand	nightstand		a small low bedside table, typically having drawers. a small bedside table or stand		night stand		background				cabinet
furniture			bed	bed	bed	bed									bed	bed	bed	bed	bed	bed.n.01 [occasionally CAN INCLUDE PILLOW, BLANKET, usually NOT]	a piece of furniture that provides a place to sleep		bed		background	bed			bed
furniture			{table-merged, dining table}	table	{coffee table,  table}	table											table	table	table	table.n.02	A piece of furniture consisting of a smooth flat slab fixed on legs. A piece of furniture with a flat top and one or more legs, providing a level surface on which objects may be placed, and that can be used for such purposes as eating, writing, working, or playing games.		table		diningtable	table			table
furniture				pool_table	pool table	pool_table													pool_table	pool_table.n.01	game equipment consisting of a heavy table on which pool is played	no			background	otherfurniture			table
furniture					barrel	barrel													barrel	barrel.n.02	a cylindrical container that holds liquids				background	otherfurniture			background
furniture				desk	desk	desk									desk	desk	desk	desk	desk	desk.n.01	A piece of furniture with a flat or sloped surface with drawers, at which one can read, write, or do other work. A table, frame, or case with a sloping or horizontal surface especially for writing and reading and often with drawers, compartments, and pigeonholes	no	desk		background	desk			background
furniture				ottoman	ottoman	ottoman												ottoman	ottoman	ottoman.n.03	thick cushion used as a seat				background	otherfurniture			background
furniture				wardrobe	wardrobe	wardrobe													wardrobe	wardrobe.n.01	a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes	no			background	otherfurniture			cabinet
furniture					cradle	crib													crib	crib.n.01	baby bed with high sides made of slats				background	otherfurniture			background
furniture				basket	basket	basket													basket	basket.n.01	a container used to hold or carry things, typically made from interwoven strips of cane or wire.	yes			background	otherfurniture			background
furniture				chest_of_drawers	chest of drawers	chest_of_drawers									dresser	dresser	dresser	chest_of_drawers	chest_of_drawers	chest_of_drawers.n.01	furniture with drawers for keeping clothes	no	dresser		background				cabinet
furniture				bookshelf	bookcase	bookshelf									bookshelf	bookshelf	bookshelf	bookshelf	bookshelf				bookshelf		background	bookshelf			shelves
