kitti-19	kitti-34
unlabeled	unlabeled
unlabeled	unlabeled
unlabeled	unlabeled
unlabeled	unlabeled
unlabeled	unlabeled
unlabeled	unlabeled
unlabeled	unlabeled
road	road
sidewalk	sidewalk
unlabeled	unlabeled
unlabeled	unlabeled
building	building
wall	wall
fence	fence
unlabeled	unlabeled
unlabeled	unlabeled
unlabeled	unlabeled
pole	pole
unlabeled	unlabeled
traffic light	traffic light
traffic sign	traffic sign
vegetation	vegetation
terrain	terrain
sky	sky
person	person
rider	rider
car	car
truck	truck
bus	bus
unlabeled	unlabeled
unlabeled	unlabeled
train	train
motorcycle	motorcycle
bicycle	bicycle
